head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time
26,24,17,24,Random,-9999,ab2f04f7bdaf5bd4,2.4730000495910645,0.14899992942810059,1638370510.65,17,sunset,mango,day,sunset,mango,sunset,mango,day,sunset,mango,2478.875773668289,2021-12-01T14:55:10.650000,1638368031.7742264
23,15,26,26,Random,-9999,ab2f04f7bdaf5bd4,2.2690000534057617,0.1419999599456787,1638370513.054,15,blueberry,day,sky,day,blueberry,blueberry,day,sky,day,blueberry,2481.2797734737396,2021-12-01T14:55:13.054000,1638368031.7742264
12,15,27,27,Random,-9999,ab2f04f7bdaf5bd4,2.8919999599456787,0.14600014686584473,1638370516.096,15,blueberry,dusk,fearful,dusk,blueberry,blueberry,dusk,fearful,dusk,blueberry,2484.3217735290527,2021-12-01T14:55:16.096000,1638368031.7742264
25,23,6,6,Random,-9999,ab2f04f7bdaf5bd4,3.6540000438690186,0.1399998664855957,1638370519.893,23,sky,below,dawn,below,sky,sky,below,dawn,below,sky,2488.118773460388,2021-12-01T14:55:19.893000,1638368031.7742264
15,10,17,17,Random,-9999,eb4c2d6611564609,2.246999979019165,0.5140001773834229,1638370520.392,10,angry,mango,blueberry,mango,angry,angry,mango,blueberry,mango,angry,2488.6177735328674,2021-12-01T14:55:20.392000,1638368031.7742264
20,5,22,22,Random,-9999,ab2f04f7bdaf5bd4,1.3989999294281006,0.1400001049041748,1638370521.374,5,above,ocean,beach,ocean,above,above,ocean,beach,ocean,above,2489.599773645401,2021-12-01T14:55:21.374000,1638368031.7742264
20,24,10,24,Random,-9999,eb4c2d6611564609,1.511000156402588,0.24899983406066895,1638370522.246,10,sunset,angry,beach,sunset,angry,sunset,angry,beach,sunset,angry,2490.47177362442,2021-12-01T14:55:22.246000,1638368031.7742264
9,5,24,5,Random,-9999,ab2f04f7bdaf5bd4,2.254999876022339,0.0820000171661377,1638370523.766,24,above,sunset,near,above,sunset,above,sunset,near,above,sunset,2491.9917736053467,2021-12-01T14:55:23.766000,1638368031.7742264
25,11,4,4,Random,-9999,eb4c2d6611564609,2.614000082015991,0.2590000629425049,1638370527.216,11,disgust,socks,dawn,socks,disgust,disgust,socks,dawn,socks,disgust,2495.4417736530304,2021-12-01T14:55:27.216000,1638368031.7742264
26,19,0,19,Random,-9999,ab2f04f7bdaf5bd4,4.411999940872192,0.1400001049041748,1638370528.323,0,watermelon,dress,day,watermelon,dress,watermelon,dress,day,watermelon,dress,2496.5487735271454,2021-12-01T14:55:28.323000,1638368031.7742264
3,6,0,6,Random,-9999,eb4c2d6611564609,1.689000129699707,0.182999849319458,1638370528.979,0,below,dress,shoes,below,dress,below,dress,shoes,below,dress,2497.2047736644745,2021-12-01T14:55:28.979000,1638368031.7742264
25,21,11,11,Random,-9999,ab2f04f7bdaf5bd4,3.997999906539917,0.14300012588500977,1638370532.465,21,field,disgust,dawn,disgust,field,field,disgust,dawn,disgust,field,2500.690773487091,2021-12-01T14:55:32.465000,1638368031.7742264
15,17,24,17,Random,-9999,eb4c2d6611564609,3.4800000190734863,0.08799982070922852,1638370532.748,24,mango,sunset,blueberry,mango,sunset,mango,sunset,blueberry,mango,sunset,2500.9737734794617,2021-12-01T14:55:32.748000,1638368031.7742264
24,22,2,22,Random,-9999,eb4c2d6611564609,1.6299998760223389,0.2740001678466797,1638370534.453,2,ocean,shirt,sunset,ocean,shirt,ocean,shirt,sunset,ocean,shirt,2502.6787736415863,2021-12-01T14:55:34.453000,1638368031.7742264
2,26,29,26,Random,-9999,ab2f04f7bdaf5bd4,2.380999803543091,0.14100003242492676,1638370534.976,29,day,noon,shirt,day,noon,day,noon,shirt,day,noon,2503.2017736434937,2021-12-01T14:55:34.976000,1638368031.7742264
22,8,18,8,Random,-9999,eb4c2d6611564609,2.184999942779541,0.07599997520446777,1638370536.774,18,far,strawberry,ocean,far,strawberry,far,strawberry,ocean,far,strawberry,2504.99977350235,2021-12-01T14:55:36.774000,1638368031.7742264
5,19,25,25,Random,-9999,eb4c2d6611564609,1.7849998474121094,0.24200010299682617,1638370538.739,19,watermelon,dawn,above,dawn,watermelon,watermelon,dawn,above,dawn,watermelon,2506.9647736549377,2021-12-01T14:55:38.739000,1638368031.7742264
29,10,3,10,Random,-9999,ab2f04f7bdaf5bd4,4.76800012588501,0.13499999046325684,1638370539.883,3,angry,shoes,noon,angry,shoes,angry,shoes,noon,angry,shoes,2508.108773469925,2021-12-01T14:55:39.883000,1638368031.7742264
9,0,8,8,Random,-9999,eb4c2d6611564609,2.1710000038146973,0.07400012016296387,1638370541.192,0,dress,far,near,far,dress,dress,far,near,far,dress,2509.4177734851837,2021-12-01T14:55:41.192000,1638368031.7742264
5,28,25,25,Random,-9999,ab2f04f7bdaf5bd4,2.7639999389648438,0.1359999179840088,1638370542.789,28,night,dawn,above,dawn,night,night,dawn,above,dawn,night,2511.014773607254,2021-12-01T14:55:42.789000,1638368031.7742264
0,9,8,9,Random,-9999,eb4c2d6611564609,2.6470000743865967,0.2839999198913574,1638370543.986,8,near,far,dress,near,far,near,far,dress,near,far,2512.211773633957,2021-12-01T14:55:43.986000,1638368031.7742264
25,3,21,21,Random,-9999,ab2f04f7bdaf5bd4,2.25,0.14499998092651367,1638370545.23,3,shoes,field,dawn,field,shoes,shoes,field,dawn,field,shoes,2513.4557735919952,2021-12-01T14:55:45.230000,1638368031.7742264
23,24,18,24,Random,-9999,eb4c2d6611564609,1.3619999885559082,0.14599990844726562,1638370545.429,18,sunset,strawberry,sky,sunset,strawberry,sunset,strawberry,sky,sunset,strawberry,2513.6547734737396,2021-12-01T14:55:45.429000,1638368031.7742264
23,5,14,5,Random,-9999,eb4c2d6611564609,1.4479999542236328,0.08700013160705566,1638370546.965,14,above,sad,sky,above,sad,above,sad,sky,above,sad,2515.190773487091,2021-12-01T14:55:46.965000,1638368031.7742264
7,20,15,15,Random,-9999,ab2f04f7bdaf5bd4,2.635999917984009,0.13499999046325684,1638370547.955,20,beach,blueberry,beside,blueberry,beach,beach,blueberry,beside,blueberry,beach,2516.180773496628,2021-12-01T14:55:47.955000,1638368031.7742264
20,11,18,18,Random,-9999,eb4c2d6611564609,1.5819997787475586,0.08100008964538574,1638370548.621,11,disgust,strawberry,beach,strawberry,disgust,disgust,strawberry,beach,strawberry,disgust,2516.84677362442,2021-12-01T14:55:48.621000,1638368031.7742264
26,19,28,28,Random,-9999,ab2f04f7bdaf5bd4,1.6510000228881836,0.14700007438659668,1638370549.928,19,watermelon,night,day,night,watermelon,watermelon,night,day,night,watermelon,2518.153773546219,2021-12-01T14:55:49.928000,1638368031.7742264
29,16,3,16,Random,-9999,eb4c2d6611564609,1.994999885559082,0.1530001163482666,1638370550.985,3,lemon,shoes,noon,lemon,shoes,lemon,shoes,noon,lemon,shoes,2519.2107734680176,2021-12-01T14:55:50.985000,1638368031.7742264
21,7,24,24,Random,-9999,ab2f04f7bdaf5bd4,1.7279999256134033,0.3169999122619629,1638370551.761,7,beside,sunset,field,sunset,beside,beside,sunset,field,sunset,beside,2519.9867734909058,2021-12-01T14:55:51.761000,1638368031.7742264
7,10,28,28,Random,-9999,ab2f04f7bdaf5bd4,3.2079999446868896,0.3400001525878906,1638370555.351,10,angry,night,beside,night,angry,angry,night,beside,night,angry,2523.5767736434937,2021-12-01T14:55:55.351000,1638368031.7742264
16,11,7,11,Random,-9999,eb4c2d6611564609,2.6690001487731934,0.26999998092651367,1638370556.071,7,disgust,beside,lemon,disgust,beside,disgust,beside,lemon,disgust,beside,2524.296773672104,2021-12-01T14:55:56.071000,1638368031.7742264
26,21,15,15,Random,-9999,ab2f04f7bdaf5bd4,1.9839999675750732,0.1510000228881836,1638370557.483,21,field,blueberry,day,blueberry,field,field,blueberry,day,blueberry,field,2525.708773612976,2021-12-01T14:55:57.483000,1638368031.7742264
12,26,24,26,Random,-9999,eb4c2d6611564609,2.634999990463257,0.1419999599456787,1638370558.845,24,day,sunset,fearful,day,sunset,day,sunset,fearful,day,sunset,2527.070773601532,2021-12-01T14:55:58.845000,1638368031.7742264
26,12,24,24,Random,-9999,ab2f04f7bdaf5bd4,2.313999891281128,0.15600013732910156,1638370559.952,12,fearful,sunset,day,sunset,fearful,fearful,sunset,day,sunset,fearful,2528.177773475647,2021-12-01T14:55:59.952000,1638368031.7742264
